type,timestamp,uid
login_successful,2017-07-07 23:14:53.912701360+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-07 23:14:54.912701360+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-07 23:14:55.912701360+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-07 23:14:56.912701360+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-07 23:14:57.912701360+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-07 23:14:58.912701360+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-07 23:14:59.912701360+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-07 23:15:00.912701360+00:00,Sound-indigo-aardwolf-worksmanager
file_written,2017-07-08 05:50:56.880026874+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-08 05:50:57.880026874+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-08 05:50:58.880026874+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-08 05:50:59.880026874+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-08 05:51:00.880026874+00:00,Sound-indigo-aardwolf-worksmanager
file_updated,2017-07-08 05:51:01.880026874+00:00,Sound-indigo-aardwolf-worksmanager
file_written,2017-07-08 05:51:02.880026874+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-08 05:51:03.880026874+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-09 00:03:28.882905803+00:00,Sound-indigo-aardwolf-worksmanager
unshared_user,2017-07-09 00:03:29.882905803+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-09 00:03:30.882905803+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-09 00:03:31.882905803+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-09 00:03:32.882905803+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-09 00:03:33.882905803+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-09 00:03:34.882905803+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-09 00:03:35.882905803+00:00,Sound-indigo-aardwolf-worksmanager
file_written,2017-07-10 02:13:32.465038522+00:00,Sound-indigo-aardwolf-worksmanager
file_updated,2017-07-10 02:13:33.465038522+00:00,Sound-indigo-aardwolf-worksmanager
file_written,2017-07-10 02:13:34.465038522+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-10 02:13:35.465038522+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-10 02:13:36.465038522+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-10 02:13:37.465038522+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-10 02:13:38.465038522+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-10 02:13:39.465038522+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 20:55:58.584296277+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 20:55:59.584296277+00:00,Sound-indigo-aardwolf-worksmanager
file_updated,2017-07-11 20:56:00.584296277+00:00,Sound-indigo-aardwolf-worksmanager
file_written,2017-07-11 20:56:01.584296277+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 20:56:02.584296277+00:00,Sound-indigo-aardwolf-worksmanager
file_created,2017-07-11 20:56:03.584296277+00:00,Sound-indigo-aardwolf-worksmanager
file_written,2017-07-11 20:56:04.584296277+00:00,Sound-indigo-aardwolf-worksmanager
file_created,2017-07-11 20:56:05.584296277+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 21:05:45.441924821+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 21:05:46.441924821+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 21:05:47.441924821+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 21:05:48.441924821+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 21:05:49.441924821+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 21:05:50.441924821+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 21:05:51.441924821+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-11 21:05:52.441924821+00:00,Sound-indigo-aardwolf-worksmanager
file_written,2017-07-12 09:38:17.105204855+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-12 09:38:18.105204855+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-12 09:38:19.105204855+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-12 09:38:20.105204855+00:00,Sound-indigo-aardwolf-worksmanager
logout_occured,2017-07-12 09:38:21.105204855+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-12 09:38:22.105204855+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-12 09:38:23.105204855+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-12 09:38:24.105204855+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-13 06:10:48.646993651+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-13 06:10:49.646993651+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-13 06:10:50.646993651+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-13 06:10:51.646993651+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-13 06:10:52.646993651+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-13 06:10:53.646993651+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-13 06:10:54.646993651+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-13 06:10:55.646993651+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-14 15:13:55.288491619+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-14 15:13:56.288491619+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-14 15:13:57.288491619+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-14 15:13:58.288491619+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-14 15:13:59.288491619+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-14 15:14:00.288491619+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-14 15:14:01.288491619+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-14 15:14:02.288491619+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-15 09:43:43.398337207+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-15 09:43:44.398337207+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-15 09:43:45.398337207+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-15 09:43:46.398337207+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-15 09:43:47.398337207+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-15 09:43:48.398337207+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-15 09:43:49.398337207+00:00,Sound-indigo-aardwolf-worksmanager
file_updated,2017-07-15 09:43:50.398337207+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-19 02:25:44.179849278+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-19 02:25:45.179849278+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-19 02:25:46.179849278+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-19 02:25:47.179849278+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-19 02:25:48.179849278+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-19 02:25:49.179849278+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-19 02:25:50.179849278+00:00,Sound-indigo-aardwolf-worksmanager
file_accessed,2017-07-19 02:25:51.179849278+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-19 10:50:43.737818963+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-19 10:50:44.737818963+00:00,Sound-indigo-aardwolf-worksmanager
login_attempt,2017-07-19 10:50:45.737818963+00:00,Sound-indigo-aardwolf-worksmanager
login_successful,2017-07-19 10:50:46.737818963+00:00,Sound-indigo-aardwolf-worksmanager
